filename,emeg_original,emeg_sece,emeg_secedct,emeg_ghe,emeg_clahe
92014.jpg,0.878558791802539,0.9040399616325088,0.9017226235356365,0.9051817398045182,0.8825917614623485
94095.jpg,0.9146233525400007,0.9564025709609298,0.9591340943286697,0.9578226148653397,0.9202795462267467
97010.jpg,0.8464153358537522,0.898933592453166,0.9373428441101413,0.9123200449786966,0.8479769703330343
100075.jpg,0.9123387668568744,0.9420726654277146,0.9315652719500067,0.9428325016040676,0.9118281703809403
100080.jpg,0.8722394365078117,0.9128553667655527,0.9194959580239992,0.9164473738363611,0.8941876942884401
100098.jpg,0.9216477655203887,0.9295801948066343,0.9614816989566086,0.9286105025926599,0.9119591313533764
103041.jpg,0.8987286410863033,0.9302904696038391,0.9175759999053421,0.932620781984546,0.9155101669114647
104022.jpg,0.9051606415136996,0.9494523343131347,0.9236346432037625,0.9512795519533318,0.9149124572338073
105019.jpg,0.9017469704369467,0.9546462695152943,0.9508905336884538,0.9570291932304182,0.9235071835198184
105053.jpg,0.8883553223792447,0.9407537711337639,0.928705272737222,0.9429094533241762,0.908751506102119
106020.jpg,0.9067948047782918,0.9369572030806189,0.9402720913168743,0.9409455242178765,0.9229202912745268
106025.jpg,0.8677119944344963,0.9175803186286067,0.9271643587268126,0.9222533187192908,0.895150598586947
108041.jpg,0.9029730869725459,0.9308174900644657,0.9210067168487697,0.9322613446983021,0.910813686140058
108073.jpg,0.9106089846888414,0.9486303201302276,0.9175405830015558,0.9509308344374862,0.9231811337886489
109034.jpg,0.9138729769701696,0.9311083733249146,0.971476392521948,0.9314968747480283,0.873687503134461
112082.jpg,0.8927864723272185,0.9098991442487193,0.9449945767209332,0.9103153357554279,0.8805396677966918
113009.jpg,0.9060506271374955,0.9453472552724022,0.9365585055777773,0.9469943267419204,0.9280964255034205
113016.jpg,0.8933155083579208,0.9281469949047993,0.9208517689804713,0.930508049970314,0.8983516085846385
113044.jpg,0.8966585248975428,0.9363372817569084,0.9288658866228092,0.9387337726435421,0.8988451514496961
117054.jpg,0.8802651099023477,0.8950054926611973,0.9400766288297671,0.8941528849401712,0.8615950245025553
118020.jpg,0.9115331067148903,0.9357958800799293,0.9497670838654375,0.9398082944583231,0.9103872930294024
118035.jpg,0.8850798273977568,0.917503624907639,0.9342502168510963,0.9222681464623451,0.909349381277933
12003.jpg,0.9193041026420546,0.9394316435878544,0.9192135506585871,0.9391267387433538,0.9242451126707261
12074.jpg,0.8990941928520684,0.9390945884823017,0.9563777749043278,0.9434050020639894,0.9182243784760119
122048.jpg,0.791722290174694,0.8204748638359971,0.905663750788335,0.8365110901555556,0.8634677951087516
124084.jpg,0.8969133914433147,0.9281535592387813,0.9172270165810067,0.9298424540236052,0.915780559724313
126039.jpg,0.8886491231433563,0.9233413377913338,0.9382339891253824,0.9253380405108597,0.9157269177163955
